거래소 종목코드 1565
110 	 A001740 	 1 	 4800 	 SK네트웍스
111 	 A001745 	 1 	 79900 	 SK네트웍스우
112 	 A001750 	 1 	 8690 	 한양증권
113 	 A001755 	 1 	 9550 	 한양증권우
114 	 A001770 	 1 	 20900 	 신화실업
115 	 A001780 	 1 	 2550 	 알루코
116 	 A001790 	 1 	 18750 	 대한제당
117 	 A001795 	 1 	 12750 	 대한제당우
118 	 A001799 	 1 	 25000 	 대한제당3우B
119 	 A001800 	 1 	 16250 	 오리온홀딩스
120 	 A001820 	 1 	 68300 	 삼화콘덴서
121 	 A001880 	 1 	 17700 	 삼호
122 	 A001940 	 1 	 11350 	 KISCO홀딩스
123 	 A002020 	 1 	 16000 	 코오롱
124 	 A002025 	 1 	 9480 	 코오롱우
125 	 A002030 	 1 	 101000 	 아세아
126 	 A002070 	 1 	 1375 	 남영비비안
127 	 A002100 	 1 	 11050 	 경농
128 	 A002140 	 1 	 3145 	 고려산업
129 	 A002150 	 1 	 8400 	 도화엔지니어링
130 	 A002170 	 1 	 60800 	 삼양통상
131 	 A002200 	 1 	 20300 	 수출포장
132 	 A002210 	 1 	 14400 	 동성제약
133 	 A002220 	 1 	 1950 	 한일철강
134 	 A002240 	 1 	 18250 	 고려제강
135 	 A002270 	 1 	 375000 	 롯데푸드
136 	 A002300 	 1 	 17650 	 한국제지
137 	 A002310 	 1 	 33050 	 아세아제지
138 	 A002320 	 1 	 36300 	 한진
139 	 A002350 	 1 	 7770 	 넥센타이어
140 	 A002355 	 1 	 3200 	 넥센타이어1우B
141 	 A002360 	 1 	 1090 	 SH에너지화학
142 	 A002380 	 1 	 209000 	 KCC
143 	 A002390 	 1 	 24150 	 한독
144 	 A002410 	 1 	 3305 	 범양건영
145 	 A002420 	 1 	 57300 	 세기상사
146 	 A002450 	 1 	 1855 	 삼익악기
147 	 A002460 	 1 	 10450 	 화성산업
148 	 A002600 	 1 	 135500 	 조흥
149 	 A002620 	 1 	 16350 	 제일파마홀딩스
150 	 A002630 	 1 	 306 	 오리엔트바이오
151 	 A002690 	 1 	 2475 	 동일제강
152 	 A002700 	 1 	 1890 	 신일산업
153 	 A002710 	 1 	 2520 	 TCC스틸
154 	 A002720 	 1 	 5240 	 국제약품
155 	 A002760 	 1 	 2080 	 보락
156 	 A002780 	 1 	 2380 	 진흥기업
157 	 A002785 	 1 	 5680 	 진흥기업우B
158 	 A002787 	 1 	 15500 	 진흥기업2우B
159 	 A002790 	 1 	 71800 	 아모레G
160 	 A002795 	 1 	 29350 	 아모레G우
161 	 A00279K 	 1 	 48150 	 아모레G3우(전환)
162 	 A002810 	 1 	 15850 	 삼영무역
163 	 A002820 	 1 	 4100 	 선창산업
164 	 A002840 	 1 	 59000 	 미원상사
165 	 A002870 	 1 	 1485 	 신풍제지
166 	 A002880 	 1 	 880 	 대유에이텍
167 	 A002900 	 1 	 1135 	 동양물산
168 	 A002920 	 1 	 2600 	 유성기업
169 	 A002960 	 1 	 284500 	 한국쉘석유
170 	 A002990 	 1 	 9430 	 금호산업
171 	 A002995 	 1 	 32650 	 금호산업우
172 	 A003000 	 1 	 13850 	 부광약품
173 	 A003010 	 1 	 4510 	 혜인
174 	 A003030 	 1 	 38900 	 세아제강지주
175 	 A003060 	 1 	 1520 	 에이프로젠제약
176 	 A003070 	 1 	 8690 	 코오롱글로벌
177 	 A003075 	 1 	 17550 	 코오롱글로벌우
178 	 A003080 	 1 	 4190 	 성보화학
179 	 A003090 	 1 	 11850 	 대웅
180 	 A003120 	 1 	 83100 	 일성신약
181 	 A003160 	 1 	 3485 	 디아이
182 	 A003200 	 1 	 66400 	 일신방직
183 	 A003220 	 1 	 15250 	 대원제약
184 	 A003230 	 1 	 99700 	 삼양식품
185 	 A003240 	 1 	 930000 	 태광산업
186 	 A003280 	 1 	 410 	 흥아해운
187 	 A003300 	 1 	 38950 	 한일홀딩스
188 	 A003350 	 1 	 33100 	 한국화장품제조
189 	 A003410 	 1 	 4885 	 쌍용양회
190 	 A003415 	 1 	 10850 	 쌍용양회우
191 	 A003460 	 1 	 11400 	 유화증권
192 	 A003465 	 1 	 12400 	 유화증권우
193 	 A003470 	 1 	 2795 	 유안타증권
194 	 A003475 	 1 	 2275 	 유안타증권우
195 	 A003480 	 1 	 2715 	 한진중공업홀딩스
196 	 A003490 	 1 	 25650 	 대한항공
197 	 A003495 	 1 	 26100 	 대한항공우
198 	 A003520 	 1 	 5720 	 영진약품
199 	 A003530 	 1 	 2000 	 한화투자증권
200 	 A003535 	 1 	 2000 	 한화투자증권우
201 	 A003540 	 1 	 10650 	 대신증권
202 	 A003545 	 1 	 8400 	 대신증권우
203 	 A003547 	 1 	 7800 	 대신증권2우B
204 	 A003550 	 1 	 76900 	 LG
205 	 A003555 	 1 	 51200 	 LG우
206 	 A003560 	 1 	 1740 	 IHQ
207 	 A003570 	 1 	 6470 	 S&T중공업
208 	 A003580 	 1 	 7550 	 넥스트사이언스
209 	 A003610 	 1 	 1965 	 방림
210 	 A003620 	 1 	 2010 	 쌍용차
211 	 A003650 	 1 	 76400 	 미창석유
212 	 A003670 	 1 	 63500 	 포스코케미칼
213 	 A003680 	 1 	 5140 	 한성기업
214 	 A003690 	 1 	 8670 	 코리안리
215 	 A003720 	 1 	 1255 	 삼영화학
216 	 A003780 	 1 	 4350 	 진양산업
217 	 A003830 	 1 	 85000 	 대한화섬
218 	 A003850 	 1 	 13650 	 보령제약
219 	 A003920 	 1 	 404500 	 남양유업
220 	 A003925 	 1 	 134500 	 남양유업우
221 	 A003960 	 1 	 15700 	 사조대림
222 	 A004000 	 1 	 40900 	 롯데정밀화학
223 	 A004020 	 1 	 29050 	 현대제철
224 	 A004060 	 1 	 926 	 SG세계물산
225 	 A004080 	 1 	 9400 	 신흥
226 	 A004090 	 1 	 105500 	 한국석유
227 	 A004100 	 1 	 1540 	 태양금속
228 	 A004105 	 1 	 4135 	 태양금속우
229 	 A004140 	 1 	 1715 	 동방
230 	 A004150 	 1 	 3675 	 한솔홀딩스
231 	 A004170 	 1 	 293000 	 신세계
232 	 A004200 	 1 	 8250 	 고려개발
233 	 A004250 	 1 	 3755 	 NPC
234 	 A004255 	 1 	 2295 	 NPC우
235 	 A004270 	 1 	 3335 	 남성
236 	 A004310 	 1 	 5080 	 현대약품
237 	 A004360 	 1 	 10350 	 세방
238 	 A004365 	 1 	 5960 	 세방우
239 	 A004370 	 1 	 257000 	 농심
240 	 A004380 	 1 	 14000 	 삼익THK
241 	 A004410 	 1 	 162 	 서울식품
242 	 A004415 	 1 	 3490 	 서울식품우
243 	 A004430 	 1 	 13300 	 송원산업
244 	 A004440 	 1 	 6720 	 대림씨엔에스
245 	 A004450 	 1 	 43950 	 삼화왕관
246 	 A004490 	 1 	 34300 	 세방전지
247 	 A004540 	 1 	 2730 	 깨끗한나라
248 	 A004545 	 1 	 19850 	 깨끗한나라우
249 	 A004560 	 1 	 8520 	 현대비앤지스틸
250 	 A004565 	 1 	 60400 	 현대비앤지스틸우
251 	 A004690 	 1 	 83400 	 삼천리
252 	 A004700 	 1 	 37350 	 조광피혁
253 	 A004710 	 1 	 8930 	 한솔테크닉스
254 	 A004720 	 1 	 6330 	 우리들제약
255 	 A004770 	 1 	 4530 	 써니전자
256 	 A004800 	 1 	 74900 	 효성
257 	 A004830 	 1 	 3740 	 덕성
258 	 A004835 	 1 	 10250 	 덕성우
259 	 A004840 	 1 	 5320 	 DRB동일
260 	 A004870 	 1 	 1590 	 티웨이홀딩스
261 	 A004890 	 1 	 52700 	 동일산업
262 	 A004910 	 1 	 5580 	 조광페인트
263 	 A004920 	 1 	 375 	 씨아이테크
264 	 A004960 	 1 	 15100 	 한신공영
265 	 A004970 	 1 	 11150 	 신라교역
266 	 A004980 	 1 	 6540 	 성신양회
267 	 A004985 	 1 	 9500 	 성신양회우
268 	 A004990 	 1 	 34100 	 롯데지주
269 	 A00499K 	 1 	 62800 	 롯데지주우
270 	 A005010 	 1 	 9100 	 휴스틸
271 	 A005030 	 1 	 437 	 부산주공
272 	 A005070 	 1 	 11250 	 코스모신소재
273 	 A005090 	 1 	 29700 	 삼광글라스
274 	 A005110 	 1 	 3025 	 한창
275 	 A005180 	 1 	 55200 	 빙그레
276 	 A005190 	 1 	 16850 	 동성화학
277 	 A005250 	 1 	 20300 	 녹십자홀딩스
278 	 A005257 	 1 	 17500 	 녹십자홀딩스2우
279 	 A005300 	 1 	 125000 	 롯데칠성
280 	 A005305 	 1 	 62600 	 롯데칠성우
281 	 A005320 	 1 	 1170 	 국동
282 	 A005360 	 1 	 3710 	 모나미
